UID,Language,City,Age,Gender,Sport,Interests,Motivation,TimeSpent,Quiz,News,Blogs,Video,Audio,Pictures,Logs,Points,ShareContent,Quizzes,Reward,DropOff,Engagement,TotalScore,HighEngage,FootballEnthu,RewardSeek,PollEnthu
UID839,Telugu,Chennai,30,Male,Hockey,Creativity,Goal-Oriented,131,No,No,Yes,No,Yes,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID840,Telugu,Hyderabad,21,Male,Hockey,Individual,Goal-Oriented,70,Yes,Yes,No,No,Yes,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID841,Hindi,Kochi,36,Male,Golf,Creativity,Goal-Oriented,247,No,Yes,No,Yes,No,No,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID842,Tamil,Chennai,45,Female,Football,Flexibility,Performance-Driven,135,No,Yes,Yes,Yes,No,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID843,Telugu,Hyderabad,30,Male,Tennis,Individual,Competitive-Spirit,47,Yes,Yes,Yes,Yes,Yes,No,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID844,Tamil,Chennai,47,Male,Tennis,Flexibility,Performance-Driven,251,No,No,Yes,Yes,No,Yes,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID845,English,Hyderabad,22,Female,Tennis,Flexibility,Competitive-Spirit,46,No,Yes,Yes,No,Yes,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID846,English,Chennai,32,Male,Tennis,Individual,Competitive-Spirit,121,Yes,Yes,No,No,No,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID847,English,Kochi,46,Female,Football,Creativity,Performance-Driven,183,No,Yes,Yes,Yes,No,Yes,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID848,English,Kochi,40,Female,Golf,Flexibility,Competitive-Spirit,191,No,Yes,Yes,No,Yes,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID849,English,Kochi,46,Male,Tennis,Creativity,Performance-Driven,211,No,Yes,Yes,No,No,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID850,English,Chennai,30,Male,Golf,Creativity,Goal-Oriented,202,Yes,No,No,Yes,Yes,Yes,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID851,Telugu,Mumbai,23,Female,Cricket,Individual,Goal-Oriented,93,Yes,Yes,No,Yes,No,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID852,Malyalam,Hyderabad,31,Male,Golf,Flexibility,Competitive-Spirit,179,Yes,Yes,No,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID853,English,Delhi,28,Female,Cricket,Creativity,Competitive-Spirit,183,Yes,No,Yes,Yes,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID854,Malyalam,Hyderabad,22,Female,Football,Individual,Goal-Oriented,302,No,No,No,Yes,No,Yes,3,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID855,Tamil,Kochi,25,Male,Tennis,Creativity,Competitive-Spirit,258,No,Yes,No,Yes,Yes,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID856,Telugu,Chennai,25,Male,Golf,Creativity,Performance-Driven,284,No,No,No,No,Yes,No,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID857,Hindi,Chennai,18,Male,Cricket,Individual,Performance-Driven,52,No,No,No,No,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID858,Telugu,Hyderabad,28,Female,Golf,Individual,Performance-Driven,224,Yes,No,Yes,No,Yes,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID859,Tamil,Hyderabad,30,Male,Tennis,Individual,Goal-Oriented,124,Yes,Yes,No,Yes,Yes,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID860,Hindi,Chennai,37,Female,Tennis,Individual,Goal-Oriented,285,Yes,No,Yes,No,Yes,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID861,English,Delhi,26,Male,Football,Creativity,Performance-Driven,345,No,Yes,No,No,Yes,No,5,5,10,7,8,5,Medium,35,Yes,Yes,Yes,Yes
UID862,Malyalam,Chennai,45,Male,Golf,Creativity,Competitive-Spirit,343,No,Yes,No,Yes,No,Yes,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID863,English,Chennai,25,Male,Tennis,Creativity,Competitive-Spirit,95,No,No,No,No,Yes,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID864,Tamil,Mumbai,41,Female,Hockey,Creativity,Performance-Driven,108,No,No,No,Yes,No,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID865,Telugu,Kochi,49,Male,Tennis,Creativity,Goal-Oriented,136,Yes,Yes,Yes,No,No,Yes,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID866,English,Kochi,48,Female,Cricket,Flexibility,Competitive-Spirit,246,No,Yes,No,Yes,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID867,Tamil,Mumbai,28,Male,Cricket,Creativity,Goal-Oriented,254,No,No,Yes,No,No,No,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID868,English,Hyderabad,35,Male,Golf,Individual,Goal-Oriented,166,No,No,Yes,No,No,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID869,English,Hyderabad,26,Male,Tennis,Creativity,Goal-Oriented,275,No,No,Yes,No,Yes,Yes,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID870,Telugu,Delhi,37,Male,Tennis,Individual,Competitive-Spirit,137,Yes,No,No,Yes,No,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID871,Malyalam,Kochi,50,Female,Cricket,Individual,Competitive-Spirit,289,No,Yes,Yes,No,Yes,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID872,English,Delhi,45,Male,Cricket,Individual,Competitive-Spirit,183,No,No,No,No,No,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID873,Telugu,Kochi,38,Female,Golf,Flexibility,Goal-Oriented,223,Yes,No,Yes,No,Yes,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID874,Tamil,Hyderabad,50,Male,Tennis,Flexibility,Goal-Oriented,70,Yes,No,Yes,Yes,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID875,Telugu,Mumbai,46,Male,Hockey,Creativity,Goal-Oriented,146,Yes,Yes,Yes,Yes,No,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID876,Malyalam,Kochi,46,Male,Golf,Creativity,Performance-Driven,350,No,Yes,Yes,Yes,No,Yes,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID877,English,Mumbai,28,Female,Cricket,Flexibility,Performance-Driven,179,No,No,No,No,Yes,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID878,Hindi,Kochi,44,Female,Golf,Creativity,Performance-Driven,198,Yes,Yes,Yes,Yes,No,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID879,English,Hyderabad,44,Male,Golf,Creativity,Performance-Driven,232,No,Yes,No,Yes,No,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID880,Tamil,Kochi,48,Female,Tennis,Creativity,Goal-Oriented,295,Yes,Yes,Yes,No,No,Yes,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID881,English,Mumbai,19,Female,Cricket,Individual,Performance-Driven,107,Yes,Yes,No,Yes,No,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID882,English,Delhi,23,Female,Tennis,Individual,Goal-Oriented,104,No,No,Yes,No,Yes,No,7,5,10,7,8,5,High,35,No,No,No,Yes
UID883,Telugu,Mumbai,47,Male,Golf,Creativity,Competitive-Spirit,298,No,No,No,No,No,No,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID884,Malyalam,Mumbai,41,Female,Hockey,Flexibility,Competitive-Spirit,156,Yes,Yes,No,Yes,Yes,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID885,English,Chennai,36,Male,Football,Flexibility,Performance-Driven,246,Yes,No,Yes,Yes,Yes,No,3,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID886,Hindi,Kochi,32,Male,Cricket,Creativity,Performance-Driven,110,No,Yes,No,Yes,Yes,Yes,6,5,10,7,8,5,High,35,No,No,No,Yes
UID887,Tamil,Hyderabad,43,Female,Tennis,Creativity,Performance-Driven,334,Yes,Yes,No,No,Yes,No,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID888,Telugu,Chennai,42,Female,Golf,Creativity,Performance-Driven,114,Yes,Yes,Yes,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID889,Malyalam,Delhi,33,Male,Football,Flexibility,Competitive-Spirit,134,Yes,No,Yes,Yes,Yes,No,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID890,Malyalam,Delhi,40,Male,Tennis,Flexibility,Performance-Driven,52,Yes,No,No,Yes,No,Yes,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID891,Hindi,Mumbai,33,Female,Tennis,Flexibility,Competitive-Spirit,173,Yes,Yes,No,No,No,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID892,Malyalam,Kochi,39,Male,Hockey,Individual,Competitive-Spirit,116,No,Yes,No,No,No,Yes,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID893,Tamil,Delhi,23,Female,Football,Flexibility,Competitive-Spirit,297,Yes,Yes,Yes,No,Yes,Yes,7,5,10,7,8,5,High,35,Yes,Yes,Yes,Yes
UID894,Telugu,Delhi,42,Female,Cricket,Individual,Performance-Driven,298,No,Yes,No,Yes,Yes,No,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID895,Telugu,Mumbai,25,Female,Tennis,Individual,Performance-Driven,159,Yes,No,Yes,Yes,Yes,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID896,Malyalam,Hyderabad,37,Female,Football,Creativity,Competitive-Spirit,352,Yes,No,Yes,No,No,Yes,3,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID897,Hindi,Delhi,48,Male,Hockey,Flexibility,Goal-Oriented,56,No,Yes,Yes,Yes,No,Yes,6,5,10,7,8,5,High,35,No,No,No,Yes
UID898,Malyalam,Mumbai,43,Female,Cricket,Creativity,Goal-Oriented,342,No,No,No,No,Yes,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID899,Hindi,Hyderabad,27,Male,Hockey,Individual,Goal-Oriented,269,No,Yes,No,Yes,No,No,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID900,Telugu,Hyderabad,47,Male,Cricket,Individual,Performance-Driven,111,No,No,No,No,Yes,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID901,English,Kochi,48,Female,Tennis,Individual,Goal-Oriented,248,Yes,No,No,No,No,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID902,Hindi,Kochi,32,Female,Golf,Flexibility,Goal-Oriented,33,No,Yes,No,Yes,Yes,Yes,6,5,10,7,8,5,High,35,No,No,No,Yes
UID903,English,Hyderabad,18,Male,Football,Individual,Competitive-Spirit,307,No,Yes,No,No,No,No,3,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID904,Hindi,Kochi,32,Female,Hockey,Creativity,Goal-Oriented,108,Yes,No,Yes,Yes,No,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID905,Hindi,Hyderabad,20,Male,Golf,Flexibility,Goal-Oriented,146,No,No,No,Yes,Yes,No,7,5,10,7,8,5,High,35,No,No,No,Yes
UID906,Telugu,Chennai,43,Female,Hockey,Creativity,Goal-Oriented,216,No,Yes,No,No,No,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID907,English,Chennai,50,Female,Football,Flexibility,Performance-Driven,334,No,No,No,Yes,No,No,2,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID908,Malyalam,Delhi,27,Male,Tennis,Creativity,Competitive-Spirit,334,Yes,Yes,No,Yes,Yes,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID909,Hindi,Chennai,25,Female,Football,Creativity,Goal-Oriented,216,Yes,No,No,No,Yes,Yes,3,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID910,English,Chennai,27,Female,Hockey,Flexibility,Goal-Oriented,256,Yes,No,Yes,No,No,Yes,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID911,Telugu,Kochi,19,Female,Tennis,Flexibility,Competitive-Spirit,108,Yes,Yes,Yes,No,Yes,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID912,Malyalam,Hyderabad,35,Female,Tennis,Creativity,Competitive-Spirit,160,Yes,Yes,No,No,Yes,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID913,Telugu,Hyderabad,32,Female,Tennis,Flexibility,Goal-Oriented,232,No,No,No,Yes,No,No,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID914,Hindi,Kochi,31,Male,Golf,Flexibility,Performance-Driven,294,Yes,Yes,Yes,Yes,No,Yes,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID915,Tamil,Mumbai,27,Male,Tennis,Creativity,Competitive-Spirit,327,No,Yes,No,Yes,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID916,Telugu,Delhi,28,Female,Hockey,Creativity,Goal-Oriented,202,Yes,Yes,No,Yes,Yes,No,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID917,Hindi,Hyderabad,37,Female,Hockey,Individual,Goal-Oriented,120,No,No,Yes,No,Yes,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID918,Hindi,Kochi,18,Female,Tennis,Flexibility,Goal-Oriented,170,Yes,No,Yes,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID919,Hindi,Delhi,34,Female,Tennis,Creativity,Competitive-Spirit,355,No,No,Yes,No,Yes,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID920,English,Mumbai,29,Female,Cricket,Creativity,Goal-Oriented,105,No,Yes,Yes,No,No,Yes,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID921,Telugu,Chennai,40,Female,Golf,Flexibility,Goal-Oriented,290,Yes,No,Yes,Yes,No,No,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID922,Tamil,Mumbai,27,Female,Cricket,Creativity,Competitive-Spirit,345,Yes,Yes,Yes,No,No,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID923,Malyalam,Mumbai,33,Female,Hockey,Flexibility,Performance-Driven,208,Yes,No,No,Yes,Yes,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID924,Hindi,Kochi,24,Male,Football,Individual,Competitive-Spirit,150,Yes,Yes,Yes,Yes,No,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID925,English,Hyderabad,25,Male,Football,Flexibility,Goal-Oriented,220,No,Yes,No,Yes,No,No,1,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID926,English,Kochi,33,Male,Golf,Individual,Goal-Oriented,197,Yes,Yes,No,Yes,No,No,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID927,English,Mumbai,36,Male,Golf,Creativity,Performance-Driven,114,No,No,Yes,No,No,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID928,Hindi,Chennai,20,Male,Cricket,Creativity,Competitive-Spirit,91,Yes,No,Yes,No,Yes,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID929,Telugu,Kochi,26,Male,Tennis,Flexibility,Competitive-Spirit,222,Yes,Yes,No,No,Yes,No,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID930,Tamil,Chennai,40,Male,Cricket,Flexibility,Goal-Oriented,80,Yes,Yes,Yes,No,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID931,Telugu,Hyderabad,46,Female,Hockey,Individual,Competitive-Spirit,184,No,Yes,Yes,Yes,Yes,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID932,English,Mumbai,45,Male,Tennis,Flexibility,Performance-Driven,47,No,No,No,Yes,Yes,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID933,Telugu,Kochi,49,Female,Cricket,Individual,Performance-Driven,255,Yes,Yes,No,No,No,Yes,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID934,English,Chennai,19,Female,Football,Flexibility,Performance-Driven,167,Yes,Yes,No,Yes,No,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID935,Malyalam,Hyderabad,49,Female,Golf,Creativity,Competitive-Spirit,70,Yes,No,Yes,No,Yes,Yes,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID936,Malyalam,Kochi,46,Female,Tennis,Creativity,Goal-Oriented,113,No,No,Yes,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID937,Telugu,Mumbai,21,Female,Cricket,Creativity,Competitive-Spirit,168,Yes,Yes,No,No,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID938,Tamil,Hyderabad,46,Female,Golf,Individual,Competitive-Spirit,53,No,No,Yes,Yes,No,Yes,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID939,Telugu,Kochi,27,Male,Tennis,Individual,Goal-Oriented,241,Yes,Yes,Yes,Yes,Yes,Yes,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID940,Hindi,Kochi,26,Male,Tennis,Individual,Performance-Driven,97,No,Yes,Yes,Yes,Yes,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID941,Tamil,Mumbai,36,Female,Hockey,Individual,Goal-Oriented,282,Yes,No,No,No,Yes,Yes,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID942,Tamil,Hyderabad,44,Female,Hockey,Creativity,Competitive-Spirit,199,Yes,Yes,Yes,Yes,No,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID943,Telugu,Hyderabad,49,Male,Football,Creativity,Goal-Oriented,275,No,Yes,Yes,Yes,No,Yes,3,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID944,English,Mumbai,37,Male,Tennis,Individual,Competitive-Spirit,302,Yes,Yes,No,No,Yes,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID945,Telugu,Chennai,34,Male,Football,Individual,Competitive-Spirit,247,No,Yes,Yes,No,Yes,No,1,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID946,Malyalam,Chennai,18,Female,Golf,Flexibility,Performance-Driven,310,No,No,Yes,No,No,Yes,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID947,Telugu,Delhi,48,Female,Tennis,Creativity,Competitive-Spirit,220,No,Yes,No,Yes,Yes,No,4,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID948,Malyalam,Delhi,26,Male,Tennis,Flexibility,Goal-Oriented,151,No,Yes,No,No,No,Yes,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID949,English,Hyderabad,50,Female,Tennis,Creativity,Goal-Oriented,201,Yes,No,No,No,No,No,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID950,Hindi,Kochi,45,Male,Football,Creativity,Performance-Driven,219,No,No,Yes,No,No,No,2,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID951,English,Mumbai,30,Female,Cricket,Creativity,Performance-Driven,212,Yes,No,No,Yes,Yes,No,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID952,Telugu,Mumbai,21,Male,Hockey,Creativity,Performance-Driven,131,No,No,Yes,No,No,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID953,Malyalam,Chennai,47,Male,Cricket,Creativity,Competitive-Spirit,345,Yes,Yes,Yes,Yes,No,No,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID954,Malyalam,Chennai,47,Male,Cricket,Creativity,Competitive-Spirit,228,No,Yes,No,No,Yes,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID955,Malyalam,Chennai,38,Female,Hockey,Flexibility,Performance-Driven,200,Yes,Yes,Yes,No,Yes,No,5,5,10,7,8,5,Medium,35,Yes,No,Yes,Yes
UID956,Telugu,Kochi,19,Female,Football,Flexibility,Performance-Driven,254,No,No,Yes,No,No,No,2,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID957,Malyalam,Mumbai,42,Female,Tennis,Flexibility,Performance-Driven,227,No,No,Yes,No,Yes,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID958,Hindi,Hyderabad,46,Female,Tennis,Flexibility,Competitive-Spirit,113,Yes,No,No,No,Yes,Yes,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID959,Telugu,Kochi,47,Female,Tennis,Flexibility,Goal-Oriented,197,Yes,Yes,No,No,Yes,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID960,Malyalam,Chennai,44,Male,Golf,Flexibility,Performance-Driven,66,No,No,No,No,Yes,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID961,Telugu,Hyderabad,41,Male,Golf,Creativity,Performance-Driven,227,Yes,No,No,No,Yes,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID962,Tamil,Chennai,23,Male,Golf,Flexibility,Goal-Oriented,136,Yes,No,Yes,Yes,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID963,Tamil,Chennai,30,Male,Hockey,Flexibility,Competitive-Spirit,219,No,No,Yes,No,No,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID964,Malyalam,Hyderabad,48,Female,Football,Creativity,Performance-Driven,178,Yes,No,Yes,Yes,No,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID965,English,Mumbai,22,Male,Football,Flexibility,Competitive-Spirit,236,No,Yes,Yes,No,No,No,1,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID966,Hindi,Delhi,35,Female,Hockey,Flexibility,Performance-Driven,154,No,No,No,No,Yes,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID967,Malyalam,Kochi,20,Female,Tennis,Creativity,Goal-Oriented,241,No,Yes,Yes,No,No,Yes,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID968,Hindi,Chennai,30,Male,Golf,Individual,Performance-Driven,358,Yes,No,Yes,No,No,No,2,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID969,Tamil,Chennai,45,Female,Football,Creativity,Goal-Oriented,240,No,Yes,No,No,Yes,Yes,3,0,10,7,8,5,Low,30,No,Yes,Yes,Yes
UID970,Tamil,Mumbai,48,Male,Golf,Flexibility,Goal-Oriented,327,Yes,Yes,No,No,No,Yes,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID971,English,Mumbai,42,Female,Golf,Creativity,Performance-Driven,346,No,No,No,No,Yes,Yes,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID972,Hindi,Mumbai,22,Male,Golf,Individual,Performance-Driven,78,No,No,Yes,No,Yes,Yes,6,5,10,7,8,5,High,35,No,No,No,Yes
UID973,Malyalam,Delhi,28,Female,Tennis,Creativity,Performance-Driven,129,Yes,No,No,No,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID974,Malyalam,Hyderabad,48,Female,Tennis,Individual,Performance-Driven,52,No,No,No,No,No,No,7,5,10,7,8,5,High,35,No,No,No,Yes
UID975,Malyalam,Kochi,26,Female,Cricket,Creativity,Competitive-Spirit,92,No,No,No,Yes,Yes,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID976,Telugu,Hyderabad,27,Female,Golf,Creativity,Goal-Oriented,283,No,Yes,Yes,No,Yes,No,1,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID977,Telugu,Mumbai,37,Male,Tennis,Individual,Goal-Oriented,138,Yes,No,Yes,No,No,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID978,Tamil,Kochi,33,Male,Golf,Flexibility,Performance-Driven,256,Yes,No,No,Yes,No,No,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID979,Telugu,Hyderabad,19,Male,Golf,Creativity,Goal-Oriented,109,No,No,No,Yes,Yes,No,0,0,0,0,0,-5,Low,-5,No,No,No,No
UID980,Hindi,Chennai,22,Female,Cricket,Creativity,Performance-Driven,358,No,No,Yes,No,No,No,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID981,Telugu,Kochi,33,Female,Hockey,Flexibility,Competitive-Spirit,94,No,Yes,Yes,No,Yes,No,3,0,10,7,8,5,Low,30,No,No,No,Yes
UID982,Hindi,Mumbai,47,Male,Hockey,Creativity,Competitive-Spirit,61,No,Yes,Yes,Yes,Yes,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID983,Hindi,Mumbai,45,Female,Football,Flexibility,Performance-Driven,254,Yes,Yes,No,No,No,Yes,6,5,10,7,8,5,High,35,Yes,Yes,Yes,Yes
UID984,English,Kochi,48,Male,Golf,Flexibility,Goal-Oriented,81,Yes,No,Yes,No,Yes,No,6,5,10,7,8,5,High,35,No,No,No,Yes
UID985,English,Chennai,24,Male,Golf,Creativity,Competitive-Spirit,76,No,No,Yes,Yes,No,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID986,Hindi,Kochi,42,Male,Football,Creativity,Goal-Oriented,247,No,Yes,No,No,Yes,No,4,5,10,7,8,5,Medium,35,Yes,Yes,Yes,Yes
UID987,Hindi,Mumbai,32,Female,Hockey,Individual,Goal-Oriented,137,No,No,No,Yes,No,Yes,5,5,10,7,8,5,Medium,35,No,No,No,Yes
UID988,Tamil,Delhi,35,Female,Tennis,Flexibility,Performance-Driven,74,Yes,No,No,No,No,Yes,7,5,10,7,8,5,High,35,No,No,No,Yes
UID989,English,Delhi,36,Female,Golf,Flexibility,Goal-Oriented,44,No,No,Yes,No,No,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID990,Malyalam,Mumbai,23,Male,Golf,Creativity,Competitive-Spirit,302,No,Yes,Yes,Yes,Yes,Yes,6,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID991,English,Mumbai,37,Male,Football,Creativity,Performance-Driven,190,Yes,Yes,No,No,Yes,No,1,0,10,7,8,5,Low,30,No,No,No,Yes
UID992,Tamil,Hyderabad,48,Male,Football,Creativity,Performance-Driven,147,Yes,No,No,No,Yes,No,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID993,Hindi,Kochi,24,Male,Tennis,Individual,Goal-Oriented,97,No,No,No,No,Yes,No,4,5,10,7,8,5,Medium,35,No,No,No,Yes
UID994,Telugu,Delhi,19,Female,Tennis,Creativity,Goal-Oriented,137,Yes,Yes,Yes,Yes,No,Yes,2,0,10,7,8,5,Low,30,No,No,No,Yes
UID995,Tamil,Chennai,48,Female,Cricket,Flexibility,Competitive-Spirit,359,Yes,Yes,No,No,No,Yes,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
UID996,Malyalam,Mumbai,46,Male,Cricket,Creativity,Goal-Oriented,175,Yes,No,No,No,Yes,Yes,6,5,10,7,8,5,High,35,No,No,No,Yes
UID997,Telugu,Hyderabad,42,Female,Cricket,Individual,Competitive-Spirit,309,Yes,No,Yes,No,Yes,Yes,7,5,10,7,8,5,High,35,Yes,No,Yes,Yes
UID998,Tamil,Chennai,45,Male,Golf,Creativity,Goal-Oriented,176,Yes,No,Yes,Yes,Yes,Yes,6,5,10,7,8,5,High,35,No,No,No,Yes
UID999,Hindi,Kochi,47,Female,Cricket,Individual,Performance-Driven,224,No,Yes,Yes,Yes,No,No,3,0,10,7,8,5,Low,30,No,No,Yes,Yes
